symbol,open_time,probability,side_no_veto,risk_veto,side_with_veto,realized_6h_return,net_return_no_veto,net_return_with_veto
BTCUSDT,2025-07-01 00:00:00+00:00,0.527244511892,0,0,0,-0.00452843634513,0,0
BTCUSDT,2025-07-01 01:00:00+00:00,0.529802546063,0,0,0,-0.00038248461108,0,0
BTCUSDT,2025-07-01 02:00:00+00:00,0.530666112901,0,0,0,-0.00365605808835,0,0
BTCUSDT,2025-07-01 03:00:00+00:00,0.527889065293,0,0,0,-0.00593316427903,0,0
BTCUSDT,2025-07-01 04:00:00+00:00,0.531887130956,0,0,0,-0.00365993772548,0,0
BTCUSDT,2025-07-01 05:00:00+00:00,0.52891498443,0,0,0,-0.00305510514157,0,0
BTCUSDT,2025-07-01 06:00:00+00:00,0.523161277491,0,0,0,-0.0043941118583,0,0
BTCUSDT,2025-07-01 07:00:00+00:00,0.517374223788,0,0,0,-0.00346681751713,0,0
BTCUSDT,2025-07-01 08:00:00+00:00,0.526524837908,0,0,0,-0.00735750273732,0,0
BTCUSDT,2025-07-01 09:00:00+00:00,0.526687798657,0,0,0,-0.0056421768793,0,0
BTCUSDT,2025-07-01 10:00:00+00:00,0.528622270932,0,0,0,-0.00383001588312,0,0
BTCUSDT,2025-07-01 11:00:00+00:00,0.525811209778,0,0,0,-0.00330197794116,0,0
BTCUSDT,2025-07-01 12:00:00+00:00,0.528951055078,0,0,0,-0.00630890045468,0,0
BTCUSDT,2025-07-01 13:00:00+00:00,0.521189773303,0,0,0,-0.0131909374836,0,0
BTCUSDT,2025-07-01 14:00:00+00:00,0.53118023672,0,0,0,-4.71088033986e-05,0,0
BTCUSDT,2025-07-01 15:00:00+00:00,0.535531762994,0,0,0,-0.00161436184621,0,0
BTCUSDT,2025-07-01 16:00:00+00:00,0.532204344141,0,0,0,-0.00442428991156,0,0
BTCUSDT,2025-07-01 17:00:00+00:00,0.527876022373,0,0,0,-0.0053894548138,0,0
BTCUSDT,2025-07-01 18:00:00+00:00,0.53536134465,0,0,0,-0.00337949013179,0,0
BTCUSDT,2025-07-01 19:00:00+00:00,0.548668984164,0,0,0,0.00305004253854,0,0
BTCUSDT,2025-07-01 20:00:00+00:00,0.529410228297,0,0,0,-0.000106778690825,0,0
BTCUSDT,2025-07-01 21:00:00+00:00,0.530549976807,0,0,0,0.00388120599943,0,0
BTCUSDT,2025-07-01 22:00:00+00:00,0.532985128708,0,0,0,0.00728734527742,0,0
BTCUSDT,2025-07-01 23:00:00+00:00,0.531276787,0,0,0,0.00906207105639,0,0
BTCUSDT,2025-07-02 00:00:00+00:00,0.539294509052,0,0,0,0.0153908777017,0,0
BTCUSDT,2025-07-02 01:00:00+00:00,0.528118590105,0,0,0,0.0128641695044,0,0
BTCUSDT,2025-07-02 02:00:00+00:00,0.526049241453,0,0,0,0.0171873509919,0,0
BTCUSDT,2025-07-02 03:00:00+00:00,0.522394778392,0,0,0,0.0135737470891,0,0
BTCUSDT,2025-07-02 04:00:00+00:00,0.51695690428,0,0,0,0.0137812613799,0,0
BTCUSDT,2025-07-02 05:00:00+00:00,0.513869931623,0,0,0,0.00788793350415,0,0
BTCUSDT,2025-07-02 06:00:00+00:00,0.506904341347,0,0,0,0.00341580262391,0,0
BTCUSDT,2025-07-02 07:00:00+00:00,0.511663828142,0,0,0,0.00642697048935,0,0
BTCUSDT,2025-07-02 08:00:00+00:00,0.495187435492,0,0,0,0.00381512905672,0,0
BTCUSDT,2025-07-02 09:00:00+00:00,0.500784320874,0,0,0,0.0102342930108,0,0
BTCUSDT,2025-07-02 10:00:00+00:00,0.496092856558,0,0,0,0.0145024128654,0,0
BTCUSDT,2025-07-02 11:00:00+00:00,0.505363843922,0,0,0,0.0153487174682,0,0
BTCUSDT,2025-07-02 12:00:00+00:00,0.504048624294,0,0,0,0.0201058074918,0,0
BTCUSDT,2025-07-02 13:00:00+00:00,0.500668638388,0,0,0,0.0177041093755,0,0
BTCUSDT,2025-07-02 14:00:00+00:00,0.483185132745,0,0,0,0.00921315047283,0,0
BTCUSDT,2025-07-02 15:00:00+00:00,0.473871903598,0,0,0,0.00647484488826,0,0
BTCUSDT,2025-07-02 16:00:00+00:00,0.468170805116,0,0,0,-0.0024770360968,0,0
BTCUSDT,2025-07-02 17:00:00+00:00,0.481342368591,0,0,0,-0.00256639647128,0,0
BTCUSDT,2025-07-02 18:00:00+00:00,0.465792223779,0,0,0,-0.00569551194973,0,0
BTCUSDT,2025-07-02 19:00:00+00:00,0.456791658686,0,0,0,-0.0063839774084,0,0
BTCUSDT,2025-07-02 20:00:00+00:00,0.47976331018,0,0,0,-0.00380056864673,0,0
BTCUSDT,2025-07-02 21:00:00+00:00,0.469710926484,0,0,0,-0.00743399688236,0,0
BTCUSDT,2025-07-02 22:00:00+00:00,0.47759072122,0,0,0,-0.0032251562185,0,0
BTCUSDT,2025-07-02 23:00:00+00:00,0.482558379444,0,0,0,0.00450869824051,0,0
BTCUSDT,2025-07-03 00:00:00+00:00,0.475994098963,0,0,0,0.00517779920121,0,0
BTCUSDT,2025-07-03 01:00:00+00:00,0.478757130472,0,0,0,0.00278988110865,0,0
BTCUSDT,2025-07-03 02:00:00+00:00,0.485682930128,0,0,0,0.00603422395125,0,0
BTCUSDT,2025-07-03 03:00:00+00:00,0.489292264021,0,0,0,0.0120962133133,0,0
BTCUSDT,2025-07-03 04:00:00+00:00,0.487750843708,0,0,0,0.00964583141833,0,0
BTCUSDT,2025-07-03 05:00:00+00:00,0.482520464892,0,0,0,0.00236710375134,0,0
BTCUSDT,2025-07-03 06:00:00+00:00,0.486740551856,0,0,0,-0.00284027229347,0,0
BTCUSDT,2025-07-03 07:00:00+00:00,0.491887756593,0,0,0,0.00892780014641,0,0
BTCUSDT,2025-07-03 08:00:00+00:00,0.494256096565,0,0,0,0.00311764103006,0,0
BTCUSDT,2025-07-03 09:00:00+00:00,0.482529357503,0,0,0,-0.00740716485572,0,0
BTCUSDT,2025-07-03 10:00:00+00:00,0.491935547015,0,0,0,-0.00501559686659,0,0
BTCUSDT,2025-07-03 11:00:00+00:00,0.492276999725,0,0,0,-0.000394072255461,0,0
BTCUSDT,2025-07-03 12:00:00+00:00,0.498442212429,0,0,0,0.00467866084188,0,0
