symbol,variant,n,brier,log_loss,accuracy,ece10
BTCUSDT,single_momentum6,4410,0.303008513882,0.836675728597,0.474376417234,0.192959104327
BTCUSDT,majority_vote,4410,0.314795918367,1.87144667708,0.48820861678,0.205215419501
BTCUSDT,equal_weight_raw,4410,0.265259387295,0.725453200555,0.468934240363,0.106200795811
BTCUSDT,calibrated_weighted,4410,0.248866411292,0.690876422731,0.536281179138,0.0179599181333
BTCUSDT,calibrated_corr_controlled,4410,0.248866286122,0.690876171307,0.536507936508,0.0181850978142
ETHUSDT,single_momentum6,4410,0.306204140283,0.844574893267,0.47052154195,0.195817212856
ETHUSDT,majority_vote,4410,0.31439909297,1.92175135465,0.487074829932,0.200680272109
ETHUSDT,equal_weight_raw,4410,0.264131968951,0.723072209217,0.481179138322,0.094317284809
ETHUSDT,calibrated_weighted,4410,0.250563180556,0.694308862953,0.524489795918,0.0216194752585
ETHUSDT,calibrated_corr_controlled,4410,0.250563277972,0.694309063512,0.524489795918,0.0216206483732
SOLUSDT,single_momentum6,4410,0.299214343373,0.822657726739,0.478911564626,0.190098818089
SOLUSDT,majority_vote,4410,0.311748866213,1.87040768076,0.487528344671,0.192346938775
SOLUSDT,equal_weight_raw,4410,0.26272656698,0.71993551451,0.485714285714,0.0902002692308
SOLUSDT,calibrated_weighted,4410,0.250644629015,0.69443762003,0.496598639456,0.0182193393947
SOLUSDT,calibrated_corr_controlled,4410,0.250644709366,0.694437781074,0.496598639456,0.0182192896356
