symbol,candidate,baseline,metric,delta_candidate_minus_baseline,ci95_low,ci95_high,prob_candidate_better,block_size_hours,bootstrap_reps,n
BTCUSDT,calibrated_weighted,majority_vote,brier,-0.0659295070752,-0.0776946898063,-0.0551431166963,1,24,2000,4410
BTCUSDT,calibrated_weighted,majority_vote,log_loss,-1.18057025435,-1.36913874969,-1.00638536663,1,24,2000,4410
BTCUSDT,calibrated_weighted,equal_weight_raw,brier,-0.016392976003,-0.0218906343719,-0.0114952322916,1,24,2000,4410
BTCUSDT,calibrated_weighted,equal_weight_raw,log_loss,-0.0345767778247,-0.0459451174264,-0.0243140234842,1,24,2000,4410
BTCUSDT,calibrated_corr_controlled,calibrated_weighted,brier,-1.25169796608e-07,-2.73565910061e-07,1.61812407746e-08,0.965,24,2000,4410
BTCUSDT,calibrated_corr_controlled,calibrated_weighted,log_loss,-2.51423375891e-07,-5.49623636135e-07,3.25523159221e-08,0.965,24,2000,4410
ETHUSDT,calibrated_weighted,majority_vote,brier,-0.0638359124144,-0.0762247844751,-0.0509958366088,1,24,2000,4410
ETHUSDT,calibrated_weighted,majority_vote,log_loss,-1.22744249169,-1.40812165854,-1.06098089032,1,24,2000,4410
ETHUSDT,calibrated_weighted,equal_weight_raw,brier,-0.0135687883946,-0.0208241833897,-0.00586702711501,1,24,2000,4410
ETHUSDT,calibrated_weighted,equal_weight_raw,log_loss,-0.0287633462639,-0.0437273410967,-0.0130219949572,1,24,2000,4410
ETHUSDT,calibrated_corr_controlled,calibrated_weighted,brier,9.74163353853e-08,1.07219965747e-08,1.86974165706e-07,0.01,24,2000,4410
ETHUSDT,calibrated_corr_controlled,calibrated_weighted,log_loss,2.00559077387e-07,2.15000422434e-08,3.87092347613e-07,0.0115,24,2000,4410
SOLUSDT,calibrated_weighted,majority_vote,brier,-0.061104237198,-0.0707756250994,-0.0507606719775,1,24,2000,4410
SOLUSDT,calibrated_weighted,majority_vote,log_loss,-1.17597006073,-1.35665827297,-1.00528442555,1,24,2000,4410
SOLUSDT,calibrated_weighted,equal_weight_raw,brier,-0.0120819379653,-0.0164645802972,-0.00778416565899,1,24,2000,4410
SOLUSDT,calibrated_weighted,equal_weight_raw,log_loss,-0.02549789448,-0.0345869153725,-0.0165319348486,1,24,2000,4410
SOLUSDT,calibrated_corr_controlled,calibrated_weighted,brier,8.03508085387e-08,1.08518988123e-08,1.51868844734e-07,0.0125,24,2000,4410
SOLUSDT,calibrated_corr_controlled,calibrated_weighted,log_loss,1.61043800362e-07,2.15550844405e-08,3.04440819227e-07,0.0125,24,2000,4410
