symbol,variant,n,brier,log_loss,accuracy,ece10
SPY,majority_vote,245,0.309183673469,1.53966095531,0.530612244898,0.257142857143
SPY,equal_weight_raw,245,0.256552192557,0.707657591616,0.526530612245,0.146332905469
SPY,calibrated_weighted,245,0.232692823738,0.658134747851,0.632653061224,0.00243901803152
QQQ,majority_vote,245,0.302806122449,1.93750641423,0.583673469388,0.262244897959
QQQ,equal_weight_raw,245,0.258656126816,0.712208395588,0.514285714286,0.158861360959
QQQ,calibrated_weighted,245,0.234116184983,0.66105526651,0.624489795918,0.0106708485054
GLD,majority_vote,245,0.26862244898,1.6585076031,0.632653061224,0.180612244898
GLD,equal_weight_raw,245,0.238876766907,0.672284848432,0.591836734694,0.138678150528
GLD,calibrated_weighted,245,0.234575997954,0.662202038056,0.69387755102,0.148884717534
